id,Moeda,Preço,1h,24h,7d,30d,Volume 24h,Capitalização de Mercado,FDV,Cap/FDV
3121.0,MindAI  MDAI,"$1,77",0.6%,0.3%,20.8%,4.7%,"$2.997,74",$1.627.347,$1.764.094,0.92
3164.0,Ponzichu  PCHU,"$0,001561",6.6%,9.2%,-,-,"$29.511,74",$1.626.221,$1.626.221,1.0
3123.0,daCat  DACAT,$0.084027,0.3%,1.8%,11.9%,252.1%,"$2.957,94",$1.623.206,$1.623.206,1.0
3118.0,Mumu  MUMU,$0.082350,1.8%,2.0%,12.5%,26.8%,$130.066,$1.618.245,$1.618.245,1.0
3125.0,BASED  BASED,"$0,001616",0.2%,3.9%,59.8%,192.6%,"$59.474,95",$1.616.302,$1.616.302,1.0
3126.0,VOLT.WIN  VOLT,"$0,002911",0.1%,8.5%,16.7%,167.9%,"$9.811,66",$1.612.974,$1.612.974,1.0
3127.0,Dynamic Crypto Index  DCI,"$10.744,38",0.0%,1.2%,3.2%,2.2%,"$162,36",$1.610.712,$1.610.712,1.0
3128.0,KEI Stablecoin  KEI,"$0,9764",0.9%,0.9%,1.8%,2.4%,$155.684,$1.606.321,$1.606.321,1.0
3129.0,Gala Film  FILM,"$0,01265",0.2%,11.1%,33.3%,21.7%,"$278,04",$1.605.635,$1.605.635,1.0
3130.0,mStable Governance: Meta  MTA,"$0,03229",1.0%,1.4%,0.7%,2.8%,"$429,75",$1.605.103,$2.814.510,0.57
3131.0,Honk  HONK,"$0,001624",0.3%,1.2%,0.5%,176.3%,"$5.427,01",$1.601.415,$1.617.661,0.99
3132.0,Idexo  IDO,"$0,01981",0.0%,0.0%,0.0%,0.0%,"$28.221,66",$1.601.125,$1.980.783,0.81
3133.0,Konan of Kaspa  KONAN,$0.055556,18.6%,2.7%,60.3%,319.2%,$156.985,$1.594.650,$1.594.650,1.0
3134.0,Kinka  XNK,"$3.305,92",0.0%,0.7%,3.5%,3.4%,"$90.945,72",$1.593.451,$1.593.451,1.0
3135.0,Tortuga Staked Aptos  TAPT,"$6,01",0.7%,2.9%,11.4%,12.3%,"$184,96",$1.591.287,$1.591.287,1.0
3136.0,HMX  HMX,"$0,3942",0.1%,0.5%,13.8%,30.2%,"$26.585,92",$1.590.606,$3.941.959,0.4
3137.0,PlayZap  PZP,"$0,01916",0.6%,3.0%,8.4%,11.5%,$209.514,$1.586.180,$2.873.663,0.55
3138.0,AstroPepeX  APX,"$0,00002436",1.3%,15.3%,3.4%,17.6%,"$50.582,13",$1.583.385,$1.583.385,1.0
